,news_title,source,time stamp,url
0,"Markets back in green as Sensex surges over 1,400 points, Nifty above 8,100",India Today,2020-03-25T08:15:11Z,https://news.google.com/articles/CBMihgFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2J1c2luZXNzL3N0b3J5L21hcmtldHMtYmFjay1pbi1ncmVlbi1hcy1zZW5zZXgtc3VyZ2VzLW92ZXItMS00MDAtcG9pbnRzLW5pZnR5LWFib3ZlLTgtMTAwLTE2NTk1MDctMjAyMC0wMy0yNdIBigFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2FtcC9idXNpbmVzcy9zdG9yeS9tYXJrZXRzLWJhY2staW4tZ3JlZW4tYXMtc2Vuc2V4LXN1cmdlcy1vdmVyLTEtNDAwLXBvaW50cy1uaWZ0eS1hYm92ZS04LTEwMC0xNjU5NTA3LTIwMjAtMDMtMjU?hl=en-IN&gl=IN&ceid=IN%3Aen
1,"As Flipkart Suspends Operations, What Its Internal Memo To Staff Said",NDTV News,2020-03-25T08:25:55Z,https://news.google.com/articles/CBMihgFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2J1c2luZXNzL3N0b3J5L21hcmtldHMtYmFjay1pbi1ncmVlbi1hcy1zZW5zZXgtc3VyZ2VzLW92ZXItMS00MDAtcG9pbnRzLW5pZnR5LWFib3ZlLTgtMTAwLTE2NTk1MDctMjAyMC0wMy0yNdIBigFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2FtcC9idXNpbmVzcy9zdG9yeS9tYXJrZXRzLWJhY2staW4tZ3JlZW4tYXMtc2Vuc2V4LXN1cmdlcy1vdmVyLTEtNDAwLXBvaW50cy1uaWZ0eS1hYm92ZS04LTEwMC0xNjU5NTA3LTIwMjAtMDMtMjU?hl=en-IN&gl=IN&ceid=IN%3Aen
2,Coronavirus Outbreak: Experts peg India's cost of lockdown at Rs 9 lakh cr or 4% of GDP,Firstpost,2020-03-25T07:25:28Z,https://news.google.com/articles/CBMihgFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2J1c2luZXNzL3N0b3J5L21hcmtldHMtYmFjay1pbi1ncmVlbi1hcy1zZW5zZXgtc3VyZ2VzLW92ZXItMS00MDAtcG9pbnRzLW5pZnR5LWFib3ZlLTgtMTAwLTE2NTk1MDctMjAyMC0wMy0yNdIBigFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2FtcC9idXNpbmVzcy9zdG9yeS9tYXJrZXRzLWJhY2staW4tZ3JlZW4tYXMtc2Vuc2V4LXN1cmdlcy1vdmVyLTEtNDAwLXBvaW50cy1uaWZ0eS1hYm92ZS04LTEwMC0xNjU5NTA3LTIwMjAtMDMtMjU?hl=en-IN&gl=IN&ceid=IN%3Aen
3,Dow soars over 11% in strongest one-day performance since 1933,Economic Times,2020-03-25T00:56:17Z,https://news.google.com/articles/CBMihgFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2J1c2luZXNzL3N0b3J5L21hcmtldHMtYmFjay1pbi1ncmVlbi1hcy1zZW5zZXgtc3VyZ2VzLW92ZXItMS00MDAtcG9pbnRzLW5pZnR5LWFib3ZlLTgtMTAwLTE2NTk1MDctMjAyMC0wMy0yNdIBigFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2FtcC9idXNpbmVzcy9zdG9yeS9tYXJrZXRzLWJhY2staW4tZ3JlZW4tYXMtc2Vuc2V4LXN1cmdlcy1vdmVyLTEtNDAwLXBvaW50cy1uaWZ0eS1hYm92ZS04LTEwMC0xNjU5NTA3LTIwMjAtMDMtMjU?hl=en-IN&gl=IN&ceid=IN%3Aen
4,Coronavirus: Reliance Jio to pay salary twice a month to these employees,Gadgets Now,2020-03-25T09:25:49Z,https://news.google.com/articles/CBMihgFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2J1c2luZXNzL3N0b3J5L21hcmtldHMtYmFjay1pbi1ncmVlbi1hcy1zZW5zZXgtc3VyZ2VzLW92ZXItMS00MDAtcG9pbnRzLW5pZnR5LWFib3ZlLTgtMTAwLTE2NTk1MDctMjAyMC0wMy0yNdIBigFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2FtcC9idXNpbmVzcy9zdG9yeS9tYXJrZXRzLWJhY2staW4tZ3JlZW4tYXMtc2Vuc2V4LXN1cmdlcy1vdmVyLTEtNDAwLXBvaW50cy1uaWZ0eS1hYm92ZS04LTEwMC0xNjU5NTA3LTIwMjAtMDMtMjU?hl=en-IN&gl=IN&ceid=IN%3Aen
5,Coronavirus Pandemic: SIAM Welcomes Finance Minister's New Announcements For Relaxation Of Norms,CarandBike,2020-03-24T16:30:16Z,https://news.google.com/articles/CBMihgFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2J1c2luZXNzL3N0b3J5L21hcmtldHMtYmFjay1pbi1ncmVlbi1hcy1zZW5zZXgtc3VyZ2VzLW92ZXItMS00MDAtcG9pbnRzLW5pZnR5LWFib3ZlLTgtMTAwLTE2NTk1MDctMjAyMC0wMy0yNdIBigFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2FtcC9idXNpbmVzcy9zdG9yeS9tYXJrZXRzLWJhY2staW4tZ3JlZW4tYXMtc2Vuc2V4LXN1cmdlcy1vdmVyLTEtNDAwLXBvaW50cy1uaWZ0eS1hYm92ZS04LTEwMC0xNjU5NTA3LTIwMjAtMDMtMjU?hl=en-IN&gl=IN&ceid=IN%3Aen
6,Sameer Aggarwal new CEO of Walmart India,Moneycontrol,2020-03-25T10:34:25Z,https://news.google.com/articles/CBMihgFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2J1c2luZXNzL3N0b3J5L21hcmtldHMtYmFjay1pbi1ncmVlbi1hcy1zZW5zZXgtc3VyZ2VzLW92ZXItMS00MDAtcG9pbnRzLW5pZnR5LWFib3ZlLTgtMTAwLTE2NTk1MDctMjAyMC0wMy0yNdIBigFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2FtcC9idXNpbmVzcy9zdG9yeS9tYXJrZXRzLWJhY2staW4tZ3JlZW4tYXMtc2Vuc2V4LXN1cmdlcy1vdmVyLTEtNDAwLXBvaW50cy1uaWZ0eS1hYm92ZS04LTEwMC0xNjU5NTA3LTIwMjAtMDMtMjU?hl=en-IN&gl=IN&ceid=IN%3Aen
7,Amazon hikes overtime pay for workers in US,India Today,2020-03-23T11:57:45Z,https://news.google.com/articles/CBMihgFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2J1c2luZXNzL3N0b3J5L21hcmtldHMtYmFjay1pbi1ncmVlbi1hcy1zZW5zZXgtc3VyZ2VzLW92ZXItMS00MDAtcG9pbnRzLW5pZnR5LWFib3ZlLTgtMTAwLTE2NTk1MDctMjAyMC0wMy0yNdIBigFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2FtcC9idXNpbmVzcy9zdG9yeS9tYXJrZXRzLWJhY2staW4tZ3JlZW4tYXMtc2Vuc2V4LXN1cmdlcy1vdmVyLTEtNDAwLXBvaW50cy1uaWZ0eS1hYm92ZS04LTEwMC0xNjU5NTA3LTIwMjAtMDMtMjU?hl=en-IN&gl=IN&ceid=IN%3Aen
8,Gold prices today fall sharply after rising for 3 days,Livemint,2020-03-25T03:46:18Z,https://news.google.com/articles/CBMihgFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2J1c2luZXNzL3N0b3J5L21hcmtldHMtYmFjay1pbi1ncmVlbi1hcy1zZW5zZXgtc3VyZ2VzLW92ZXItMS00MDAtcG9pbnRzLW5pZnR5LWFib3ZlLTgtMTAwLTE2NTk1MDctMjAyMC0wMy0yNdIBigFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2FtcC9idXNpbmVzcy9zdG9yeS9tYXJrZXRzLWJhY2staW4tZ3JlZW4tYXMtc2Vuc2V4LXN1cmdlcy1vdmVyLTEtNDAwLXBvaW50cy1uaWZ0eS1hYm92ZS04LTEwMC0xNjU5NTA3LTIwMjAtMDMtMjU?hl=en-IN&gl=IN&ceid=IN%3Aen
9,"D-Street Buzz: Auto stocks rally led by Maruti; Axis Bank, Bharti Airtel jump 9%",Moneycontrol.com,2020-03-25T07:33:00Z,https://news.google.com/articles/CBMihgFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2J1c2luZXNzL3N0b3J5L21hcmtldHMtYmFjay1pbi1ncmVlbi1hcy1zZW5zZXgtc3VyZ2VzLW92ZXItMS00MDAtcG9pbnRzLW5pZnR5LWFib3ZlLTgtMTAwLTE2NTk1MDctMjAyMC0wMy0yNdIBigFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2FtcC9idXNpbmVzcy9zdG9yeS9tYXJrZXRzLWJhY2staW4tZ3JlZW4tYXMtc2Vuc2V4LXN1cmdlcy1vdmVyLTEtNDAwLXBvaW50cy1uaWZ0eS1hYm92ZS04LTEwMC0xNjU5NTA3LTIwMjAtMDMtMjU?hl=en-IN&gl=IN&ceid=IN%3Aen
