,news_title,source,time stamp,url
0,"Sensex ends over 1,800 points, Nifty up 6%; bull run for RIL, private banks",Livemint,2020-03-25T03:05:00Z,https://news.google.com/articles/CBMihQFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L2xpdmUtYmxvZy9saXZlLWJsb2ctc2Vuc2V4LW5pZnR5LWxpdmUtdG9kYXktMjUtMDMtMjAyMC1uaWZ0eS1uc2UtYnNlLW5ld3MtdXBkYXRlcy0xMTU4NTEwNDY4NTkxNC5odG1s0gGJAWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tYXJrZXQvbGl2ZS1ibG9nL2xpdmUtYmxvZy1zZW5zZXgtbmlmdHktbGl2ZS10b2RheS0yNS0wMy0yMDIwLW5pZnR5LW5zZS1ic2UtbmV3cy11cGRhdGVzL2FtcC0xMTU4NTEwNDY4NTkxNC5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen
1,"Coronavirus Lockdown: Amazon Stops Taking New Orders, Flipkart Suspends Services",India Today,2020-03-25T07:59:22Z,https://news.google.com/articles/CBMihQFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L2xpdmUtYmxvZy9saXZlLWJsb2ctc2Vuc2V4LW5pZnR5LWxpdmUtdG9kYXktMjUtMDMtMjAyMC1uaWZ0eS1uc2UtYnNlLW5ld3MtdXBkYXRlcy0xMTU4NTEwNDY4NTkxNC5odG1s0gGJAWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tYXJrZXQvbGl2ZS1ibG9nL2xpdmUtYmxvZy1zZW5zZXgtbmlmdHktbGl2ZS10b2RheS0yNS0wMy0yMDIwLW5pZnR5LW5zZS1ic2UtbmV3cy11cGRhdGVzL2FtcC0xMTU4NTEwNDY4NTkxNC5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen
2,How will India lockdown play out for economy & markets: 4 scenarios,Economic Times,2020-03-25T06:46:00Z,https://news.google.com/articles/CBMihQFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L2xpdmUtYmxvZy9saXZlLWJsb2ctc2Vuc2V4LW5pZnR5LWxpdmUtdG9kYXktMjUtMDMtMjAyMC1uaWZ0eS1uc2UtYnNlLW5ld3MtdXBkYXRlcy0xMTU4NTEwNDY4NTkxNC5odG1s0gGJAWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tYXJrZXQvbGl2ZS1ibG9nL2xpdmUtYmxvZy1zZW5zZXgtbmlmdHktbGl2ZS10b2RheS0yNS0wMy0yMDIwLW5pZnR5LW5zZS1ic2UtbmV3cy11cGRhdGVzL2FtcC0xMTU4NTEwNDY4NTkxNC5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen
3,"Dow Has Biggest Rally Since 1933, Surging 11.4% On Stimulus Hopes",NDTV News,2020-03-24T21:52:35Z,https://news.google.com/articles/CBMihQFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L2xpdmUtYmxvZy9saXZlLWJsb2ctc2Vuc2V4LW5pZnR5LWxpdmUtdG9kYXktMjUtMDMtMjAyMC1uaWZ0eS1uc2UtYnNlLW5ld3MtdXBkYXRlcy0xMTU4NTEwNDY4NTkxNC5odG1s0gGJAWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tYXJrZXQvbGl2ZS1ibG9nL2xpdmUtYmxvZy1zZW5zZXgtbmlmdHktbGl2ZS10b2RheS0yNS0wMy0yMDIwLW5pZnR5LW5zZS1ic2UtbmV3cy11cGRhdGVzL2FtcC0xMTU4NTEwNDY4NTkxNC5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen
4,"Reliance to pay twice to those employees who earn below ₹30,000",Livemint,2020-03-24T10:21:49Z,https://news.google.com/articles/CBMihQFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L2xpdmUtYmxvZy9saXZlLWJsb2ctc2Vuc2V4LW5pZnR5LWxpdmUtdG9kYXktMjUtMDMtMjAyMC1uaWZ0eS1uc2UtYnNlLW5ld3MtdXBkYXRlcy0xMTU4NTEwNDY4NTkxNC5odG1s0gGJAWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tYXJrZXQvbGl2ZS1ibG9nL2xpdmUtYmxvZy1zZW5zZXgtbmlmdHktbGl2ZS10b2RheS0yNS0wMy0yMDIwLW5pZnR5LW5zZS1ic2UtbmV3cy11cGRhdGVzL2FtcC0xMTU4NTEwNDY4NTkxNC5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen
5,"Vehicle plant closures to lead to a loss of over ₹2,300 cr per day: SIAM",Hindustan Times,2020-03-24T15:02:10Z,https://news.google.com/articles/CBMihQFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L2xpdmUtYmxvZy9saXZlLWJsb2ctc2Vuc2V4LW5pZnR5LWxpdmUtdG9kYXktMjUtMDMtMjAyMC1uaWZ0eS1uc2UtYnNlLW5ld3MtdXBkYXRlcy0xMTU4NTEwNDY4NTkxNC5odG1s0gGJAWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tYXJrZXQvbGl2ZS1ibG9nL2xpdmUtYmxvZy1zZW5zZXgtbmlmdHktbGl2ZS10b2RheS0yNS0wMy0yMDIwLW5pZnR5LW5zZS1ic2UtbmV3cy11cGRhdGVzL2FtcC0xMTU4NTEwNDY4NTkxNC5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen
6,Walmart promotes Sameer Aggarwal as CEO India business,Livemint,2020-03-25T06:17:59Z,https://news.google.com/articles/CBMihQFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L2xpdmUtYmxvZy9saXZlLWJsb2ctc2Vuc2V4LW5pZnR5LWxpdmUtdG9kYXktMjUtMDMtMjAyMC1uaWZ0eS1uc2UtYnNlLW5ld3MtdXBkYXRlcy0xMTU4NTEwNDY4NTkxNC5odG1s0gGJAWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tYXJrZXQvbGl2ZS1ibG9nL2xpdmUtYmxvZy1zZW5zZXgtbmlmdHktbGl2ZS10b2RheS0yNS0wMy0yMDIwLW5pZnR5LW5zZS1ic2UtbmV3cy11cGRhdGVzL2FtcC0xMTU4NTEwNDY4NTkxNC5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen
7,Six Amazon warehouse workers test positive for coronavirus in US,The New Indian Express,2020-03-25T06:09:00Z,https://news.google.com/articles/CBMihQFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L2xpdmUtYmxvZy9saXZlLWJsb2ctc2Vuc2V4LW5pZnR5LWxpdmUtdG9kYXktMjUtMDMtMjAyMC1uaWZ0eS1uc2UtYnNlLW5ld3MtdXBkYXRlcy0xMTU4NTEwNDY4NTkxNC5odG1s0gGJAWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tYXJrZXQvbGl2ZS1ibG9nL2xpdmUtYmxvZy1zZW5zZXgtbmlmdHktbGl2ZS10b2RheS0yNS0wMy0yMDIwLW5pZnR5LW5zZS1ic2UtbmV3cy11cGRhdGVzL2FtcC0xMTU4NTEwNDY4NTkxNC5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen
8,"Gold price today: Yellow metal drops over 1%; support placed near 40,850",Moneycontrol.com,2020-03-25T04:44:00Z,https://news.google.com/articles/CBMihQFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L2xpdmUtYmxvZy9saXZlLWJsb2ctc2Vuc2V4LW5pZnR5LWxpdmUtdG9kYXktMjUtMDMtMjAyMC1uaWZ0eS1uc2UtYnNlLW5ld3MtdXBkYXRlcy0xMTU4NTEwNDY4NTkxNC5odG1s0gGJAWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tYXJrZXQvbGl2ZS1ibG9nL2xpdmUtYmxvZy1zZW5zZXgtbmlmdHktbGl2ZS10b2RheS0yNS0wMy0yMDIwLW5pZnR5LW5zZS1ic2UtbmV3cy11cGRhdGVzL2FtcC0xMTU4NTEwNDY4NTkxNC5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen
9,"Buzzing stocks: YES Bank, HDFC, RIL, Tata Motors",Economic Times,2020-03-25T03:55:26Z,https://news.google.com/articles/CBMihQFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L2xpdmUtYmxvZy9saXZlLWJsb2ctc2Vuc2V4LW5pZnR5LWxpdmUtdG9kYXktMjUtMDMtMjAyMC1uaWZ0eS1uc2UtYnNlLW5ld3MtdXBkYXRlcy0xMTU4NTEwNDY4NTkxNC5odG1s0gGJAWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tYXJrZXQvbGl2ZS1ibG9nL2xpdmUtYmxvZy1zZW5zZXgtbmlmdHktbGl2ZS10b2RheS0yNS0wMy0yMDIwLW5pZnR5LW5zZS1ic2UtbmV3cy11cGRhdGVzL2FtcC0xMTU4NTEwNDY4NTkxNC5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen
